sentiment,text
negative,thin period piece .
positive,"the crime matters less than the characters , although the filmmakers supply enough complications , close calls and double-crosses to satisfy us ."
negative,"it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many talented people were convinced to waste their time ."
negative,death might be a release .
negative,". . . with the candy-like taste of it fading faster than 25-cent bubble gum , i realized this is a throwaway movie that won't stand the test of time . it's a trifle ."
negative,the film's center will not hold .
negative,"it is most of the things costner movies are known for ; it's sanctimonious , self-righteous and so eager to earn our love that you want to slap it ."
positive,"sound the trumpets : for the first time since desperately seeking susan , madonna doesn't suck as an actress ."
negative,this is an action movie with an action icon who's been all but decommissioned .
negative,there are more shots of children smiling for the camera than typical documentary footage which hurts the overall impact of the film . it's makes a better travelogue than movie .
positive,what a bewilderingly brilliant and entertaining movie this is .
positive,labute's careful handling makes the material seem genuine rather than pandering .
negative,"the story is lacking any real emotional impact , and the plot is both contrived and cliched ."
positive,"offers an unusual opportunity to observe the inequities in the death penalty , not just the inherent immorality but also the haphazard administration of it and public misperception of how the whole thing works ."
negative,low comedy doesn't come much lower .
positive,"an undeniably gorgeous , terminally smitten document of a troubadour , his acolytes , and the triumph of his band ."
positive,"the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure ."
positive,". . . a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920's . . . the film's ending has a "" what was it all for ? "" feeling to it , but like the 1920's , the trip there is a great deal of fun ."
negative,"when the fire burns out , we've only come face-to-face with a couple dragons and that's where the film ultimately fails ."
positive,"terry is a sort of geriatric dirty harry , which will please eastwood's loyal fans -- and suits the story , wherein our hero must ride roughshod over incompetent cops to get his man ."
negative,statham employs an accent that i think is supposed to be an attempt at hardass american but sometimes just lapses into unhidden british .
positive,"'compleja e intelectualmente retadora , el ladrn de orqudeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '"
positive,the sentimental cliches mar an otherwise excellent film . a powerful performance from mel gibson and a brutal 90-minute battle sequence that does everything but issue you a dog-tag and an m-16 .
negative,"the movie doesn't generate a lot of energy . it is dark , brooding and slow , and takes its central idea way too seriously ."
negative,the only element of suspense is whether the movie will change titles or distributors again before the closing credits roll .
positive,"the film is visually dazzling , the depicted events dramatic , funny and poignant ."
positive,"the storytelling may be ordinary , but the cast is one of those all-star reunions that fans of gosford park have come to assume is just another day of brit cinema ."
positive,"the film may appear naked in its narrative form . . . but it goes deeper than that , to fundamental choices that include the complexity of the catholic doctrine"
positive,"it may not be as cutting , as witty or as true as back in the glory days of weekend and two or three things i know about her , but who else engaged in filmmaking today is so cognizant of the cultural and moral issues involved in the process ?"
negative,"humorless , self-conscious art drivel , made without a glimmer of intelligence or invention ."
positive,that haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace .
negative,it follows the basic plot trajectory of nearly every schwarzenegger film : someone crosses arnie . arnie blows things up .
positive,""" birthday girl "" is an actor's movie first and foremost ."
negative,romanek keeps adding flourishes -- artsy fantasy sequences -- that simply feel wrong . they cheapen the overall effect .
positive,"en s mismo el rey len es un espectculo digno de contemplarse en cine , dvd o en su soberbio montaje teatral ; pero el hacerlo en la pantalla imax es una experiencia colosal ."
positive,"beneath the film's obvious determination to shock at any cost lies considerable skill and determination , backed by sheer nerve ."
positive,"using an endearing cast , writer/director dover kosashvili takes a slightly dark look at relationships , both sexual and kindred ."
positive,"deep intelligence and a warm , enveloping affection breathe out of every frame ."
positive,"[moore's] better at fingering problems than finding solutions . but though he only scratches the surface , at least he provides a strong itch to explore more ."
positive,"standing by yourself is haunting . . . [it's] what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction ."
positive,"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking ."
negative,wallace seems less like he's been burning to tell a war story than he's been itching to somehow tack one together
negative,"despite the authenticity of the trappings , the film is overblown in its plotting , hackneyed in its dialogue and anachronistic in its style ."
negative,"a well-acted , but one-note film ."
positive,"perhaps not since nelson eddy crooned his indian love call to jeanette macdonald has there been a movie so unabashedly canadian , not afraid to risk american scorn or disinterest ."
negative,"plot , characters , drama , emotions , ideas -- all are irrelevant to the experience of seeing the scorpion king ."
negative,"frustratingly , dridi tells us nothing about el gallo other than what emerges through his music ."
positive,"decasia is what has happened already to so many silent movies , newsreels and the like . the unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite beautiful ."
negative,"chamber of secrets will find millions of eager fans . but if the essence of magic is its make-believe promise of life that soars above the material realm , this is the opposite of a truly magical movie ."
positive,a carefully structured scream of consciousness that is tortured and unsettling--but unquestionably alive .
negative,"for the most part , the ingredients are there . but an unwillingness to explore beyond the surfaces of her characters prevents nettelbeck's film from coming together ."
positive,"this charming , thought-provoking new york fest of life and love has its rewards ."
negative,guilty of the worst sin of attributable to a movie like this : it's not scary in the slightest .
negative,"undone by its overly complicated and derivative screenplay , the glacier-paced direction and the stereotypical characters ."
negative,"while this one gets off with a good natured warning , future lizard endeavors will need to adhere more closely to the laws of laughter"
positive,"whatever one makes of its political edge , this is beautiful filmmaking from one of french cinema's master craftsmen ."
negative,a high-minded snoozer .
negative,"this is sandler running on empty , repeating what he's already done way too often ."
positive,the film is insightful about kissinger's background and history .
positive,"a tender , heartfelt family drama ."
positive,"the piano teacher is not an easy film . it forces you to watch people doing unpleasant things to each other and themselves , and it maintains a cool distance from its material that is deliberately unsettling ."
positive,"hey , happy ! is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a love story as sanguine as its title ."
negative,". . . an airless , prepackaged julia roberts wannabe that stinks so badly of hard-sell image-mongering you'll wonder if lopez's publicist should share screenwriting credit ."
negative,an awkwardly garish showcase that diverges from anything remotely probing or penetrating .
negative,"it's another video movie photographed like a film , with the bad lighting that's often written off as indie film naturalism ."
positive,everyone should be able to appreciate the wonderful cinematography and naturalistic acting .
positive,"a slick , skillful little horror film ."
negative,"been there , done that , liked it much better the first time around - when it was called the professional ."
positive,steven spielberg brings us another masterpiece
negative,"it's a stale , overused cocktail using the same olives since 1962 as garnish . not only is entry number twenty the worst of the brosnan bunch , it's one of the worst of the entire franchise ."
positive,this comic gem is as delightful as it is derivative .
positive,"in death to smoochy , we don't get williams' usual tear and a smile , just sneers and bile , and the spectacle is nothing short of refreshing ."
negative,"several of steven soderbergh's earlier films were hailed as the works of an artist . sadly , full frontal plays like the work of a dilettante ."
positive,matches neorealism's impact by showing the humanity of a war-torn land filled with people who just want to live their lives .
negative,"an inexperienced director , mehta has much to learn ."
negative,"it's really just another silly hollywood action film , one among a multitude of simple-minded , yahoo-ing death shows ."
negative,an extremely unpleasant film .
negative,"the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness ."
negative,"mendes still doesn't quite know how to fill a frame . like the hanks character , he's a slow study : the action is stilted and the tabloid energy embalmed ."
positive,"an uncluttered , resonant gem that relays its universal points without lectures or confrontations ."
positive,"i don't know if frailty will turn bill paxton into an a-list director , but he can rest contentedly with the knowledge that he's made at least one damn fine horror movie ."
positive,"the year's happiest surprise , a movie that deals with a real subject in an always surprising way ."
negative,exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .
positive,"the usual movie rah-rah , pleasantly and predictably delivered in low-key style by director michael apted and writer tom stoppard ."
positive,"though the film never veers from its comic course , its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous ."
positive,"contradicts everything we've come to expect from movies nowadays . instead of simply handling conventional material in a conventional way , secretary takes the most unexpected material and handles it in the most unexpected way ."
positive,"sillier , cuter , and shorter than the first ( as best i remember ) , but still a very good time at the cinema ."
positive,"there is no solace here , no entertainment value , merely a fierce lesson in where filmmaking can take us ."
positive,alternates between deadpan comedy and heartbreaking loneliness and isn't afraid to provoke introspection in both its characters and its audience .
negative,[newton]wanders through charlie completely unaware she needs to show some presence and star quality .
positive,a movie that at its best doesn't just make the most out of its characters' flaws but insists on the virtue of imperfection .
positive,"though frodo's quest remains unfulfilled , a hardy group of determined new zealanders has proved its creative mettle ."
positive,a great companion piece to other napoleon films .
negative,looks awfully like one long tourist spot for a mississippi that may never have existed outside of a scriptwriter's imagination .
positive,that the e-graveyard holds as many good ideas as bad is the cold comfort that chin's film serves up with style and empathy .
negative,"too much power , not enough puff ."
positive,an endearingly offbeat romantic comedy with a great meet-cute gimmick .
negative,"a respectable but uninspired thriller that's intelligent and considered in its details , but ultimately weak in its impact ."
negative,"a fitfully amusing romp that , if nothing else , will appeal to fans of malcolm in the middle and its pubescent star , frankie muniz ."
negative,"halfway through , however , having sucked dry the undead action flick formula , blade ii mutates into a gross-out monster movie with effects that are more silly than scary ."
positive,a flawed film but an admirable one that tries to immerse us in a world of artistic abandon and political madness and very nearly succeeds .
positive,. . . there are enough moments of heartbreaking honesty to keep one glued to the screen .
negative,the talk-heavy film plays like one of robert altman's lesser works .
positive,ranks among willams' best screen work .
negative,"a 94-minute travesty of unparalleled proportions , writer-director parker seems to go out of his way to turn the legendary wit's classic mistaken identity farce into brutally labored and unfunny hokum ."
negative,"unless you come in to the film with a skateboard under your arm , you're going to feel like you weren't invited to the party ."
positive,"a delightful , if minor , pastry of a movie ."
positive,"it uses some of the figures from the real-life story to portray themselves in the film . the result is a powerful , naturally dramatic piece of low-budget filmmaking ."
negative,"there must be an audience that enjoys the friday series , but i wouldn't be interested in knowing any of them personally ."
positive,"it all plays out . . . like a high-end john hughes comedy , a kind of elder bueller's time out ."
positive,"it's a square , sentimental drama that satisfies , as comfort food often can ."
negative,"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma ."
negative,'dragonfly' is a movie about a bus wreck that turns into a film wreck .
negative,"call me a cynic , but there's something awfully deadly about any movie with a life-affirming message ."
positive,"there are a few stabs at absurdist comedy . . . but mostly the humor is of the sweet , gentle and occasionally cloying kind that has become an iranian specialty ."
negative,it's not so much a movie as a joint promotion for the national basketball association and teenaged rap and adolescent poster-boy lil' bow wow .
negative,"it wraps up a classic mother/daughter struggle in recycled paper with a shiny new bow and while the audience can tell it's not all new , at least it looks pretty ."
positive,really quite funny .
positive,"what full frontal lacks in thematic coherence it largely makes up for as loosey-goosey , experimental entertainment . still , i'm not quite sure what the point is"
negative,outrageousness is all plympton seemed to be going for this time . we miss the quirky amazement that used to come along for an integral part of the ride .
positive,this story of a determined woman's courage to find her husband in a war zone offers winning performances and some effecting moments .
negative,"once he starts learning to compromise with reality enough to become comparatively sane and healthy , the film becomes predictably conventional ."
negative,"truth to tell , if you've seen more than half-a-dozen horror films , there's nothing here you haven't seen before ."
positive,"if you like quirky , odd movies and/or the ironic , here's a fun one ."
positive,will amuse and provoke adventurous adults in specialty venues .
negative,"cacoyannis' vision is far less mature , interpreting the play as a call for pity and sympathy for anachronistic phantasms haunting the imagined glory of their own pasts ."
negative,"anyone who suffers through this film deserves , at the very least , a big box of consolation candy ."
negative,"care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman's destructive escapism or the grace-in-rebellion found by his characters ."
positive,the hot topics of the plot are relegated to the background -- a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty .
positive,an original little film about one young woman's education .
positive,"o fantasma is boldly , confidently orchestrated , aesthetically and sexually , and its impact is deeply and rightly disturbing ."
negative,conforms itself with creating a game of 'who's who' . . . where the characters' moves are often more predictable than their consequences .
negative,"despite juliet stevenon's attempt to bring cohesion to pamela's emotional roller coaster life , it is not enough to give the film the substance it so desperately needs ."
negative,"limps along on a squirm-inducing fish-out-of-water formula that goes nowhere and goes there very , very slowly ."
positive,"the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed ."
negative,"this is an egotistical endeavor from the daughter of horror director dario argento ( a producer here ) , but her raw performance and utter fearlessness make it strangely magnetic ."
negative,"whether this is art imitating life or life imitating art , it's an unhappy situation all around ."
positive,many insightful moments .
positive,fresnadillo has something serious to say about the ways in which extravagant chance can distort our perspective and throw us off the path of good sense .
positive,"no wonder they're talking about "" talk to her . "" it's astonishing ."
negative,"a horror movie with seriously dumb characters , which somewhat dilutes the pleasure of watching them stalked by creepy-crawly bug things that live only in the darkness ."
negative,"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry's boss , there isn't a redeeming moment here ."
negative,"if i could have looked into my future and saw how bad this movie was , i would go back and choose to skip it . fortunately , you still have that option ."
negative,feels too formulaic and too familiar to produce the transgressive thrills of early underground work .
negative,flaunts its quirky excesses like a new year's eve drunk sporting a paper party hat .
positive,sparse but oddly compelling .
negative,"we started to wonder if  some unpaid intern had just typed 'chris rock , ' 'anthony hopkins' and 'terrorists' into some univac-like script machine ."
negative,"despite slick production values and director roger michell's tick-tock pacing , the final effect is like having two guys yelling in your face for two hours ."
negative,"tambor and clayburgh make an appealing couple  he's understated and sardonic , she's appealingly manic and energetic . both deserve better ."
negative,. . . this isn't even a movie we can enjoy as mild escapism ; it is one in which fear and frustration are provoked to intolerable levels .
negative,"it's played in the most straight-faced fashion , with little humor to lighten things up . the heavy-handed film is almost laughable as a consequence ."
positive,"windtalkers blows this way and that , but there's no mistaking the filmmaker in the tall grass , true to himself ."
negative,"william shatner , as a pompous professor , is the sole bright spot . . ."
positive,a very capable nailbiter .
negative,"it's an earnest debut full of heartfelt performances , but is ultimately let down by a story that is all too predictable ."
negative,"an even more predictable , cliche-ridden endeavor than its predecessor ."
negative,"the film has the thrown-together feel of a summer-camp talent show : hastily written , underrehearsed , arbitrarily plotted and filled with crude humor and vulgar innuendo ."
negative,"it doesn't do the original any particular dishonor , but neither does it exude any charm or personality ."
negative,"well-nigh unendurable . . . though the picture strains to become cinematic poetry , it remains depressingly prosaic and dull ."
positive,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .
negative,hit and miss as far as the comedy goes and a big ole' miss in the way of story .
positive,"its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change , buffeted by events seemingly out of their control , is intriguing , provocative stuff ."
negative,needs more impressionistic cinematography and exhilarating point-of-view shots and fewer slow-motion 'grandeur' shots and quick-cut edits that often detract from the athleticism .
negative,so exaggerated and broad that it comes off as annoying rather than charming .
positive,"it's funny , as the old saying goes , because it's true ."
positive,"there's . . . tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate ."
negative,most of the film feels conceived and shot on the fly -- like between lunch breaks for shearer's radio show and his simpson voice-overs .
negative,does not go far enough in its humor or stock ideas to stand out as particularly memorable or even all that funny .
positive,"an eye-boggling blend of psychedelic devices , special effects and backgrounds , 'spy kids 2' is a visual treat for all audiences ."
positive,"as a good old-fashioned adventure for kids , spirit : stallion of the cimarron is a winner ."
positive,"what bloody sunday lacks in clarity , it makes up for with a great , fiery passion ."
positive,"mana gives us compelling , damaged characters who we want to help -- or hurt ."
negative,borrows from so many literary and cinematic sources that this future world feels absolutely deja vu .
negative,". . . blade ii is still top-heavy with blazing guns , cheatfully filmed martial arts , disintegrating bloodsucker computer effects and jagged camera moves that serve no other purpose than to call attention to themselves ."
positive,what could have been a daytime soap opera is actually a compelling look at a young woman's tragic odyssey .
negative,"even if the enticing prospect of a lot of nubile young actors in a film about campus depravity didn't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by avary's failure to construct a story with even a trace of dramatic interest ."
positive,"not as well-written as sexy beast , not as gloriously flippant as lock , stock and two smoking barrels , but stylish and moody and exceptionally well-acted ."
positive,tres greek writer and star nia vardalos has crafted here a worldly-wise and very funny script .
negative,the world needs more filmmakers with passionate enthusiasms like martin scorsese . but it doesn't need gangs of new york .
negative,makes 98 minutes feel like three hours .
positive,a captivating new film .
positive,"insomnia is involving . still , i thought it could have been more ."
positive,"the color sense of stuart little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie weren't as beautifully shaped and as delicately calibrated in tone as it is ."
positive,"though it runs 163 minutes , safe conduct is anything but languorous . it's packed to bursting with incident , and with scores of characters , some fictional , some from history ."
positive,"suffers from the lack of a compelling or comprehensible narrative . still , as a visual treat , the film is almost unsurpassed ."
positive,"this english-language version . . . does full honor to miyazaki's teeming and often unsettling landscape , and to the conflicted complexity of his characters ."
positive,people cinema at its finest .
positive,"fubar is very funny , but not always in a laugh-out-loud way ."
positive,there's no reason to miss interview with the assassin
negative,"the band performances featured in drumline are red hot . . . [but] from a mere story point of view , the film's ice cold ."
positive,"an exhilarating futuristic thriller-noir , minority report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order"
negative,"the cast has a high time , but de broca has little enthusiasm for such antique pulp ."
positive,a quiet family drama with a little bit of romance and a dose of darkness .
negative,"what's surprising about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be ."
positive,"harris commands the screen , using his frailty to suggest the ravages of a life of corruption and ruthlessness ."
positive,"the seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going ."
positive,"director chris wedge and screenwriters michael berg , michael j . wilson and peter ackerman create some episodes that rival vintage looney tunes for the most creative mayhem in a brief amount of time ."
negative,"star trek : nemesis meekly goes where nearly every star trek movie has gone before . wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty ."
negative,disjointed parody .
positive,"an old-fashioned scary movie , one that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts ."
positive,that the film opens with maggots crawling on a dead dog is not an out of place metaphor .
positive,"intelligent , caustic take on a great writer and dubious human being ."
positive,it would take a complete moron to foul up a screen adaptation of oscar wilde's classic satire .
negative,you'll trudge out of the theater feeling as though you rode the zipper after eating a corn dog and an extra-large cotton candy .
positive,"like mike is a harmlessly nave slice of b-ball fantasy , fit for filling in during the real nba's off-season ."
positive,what makes the movie a comedy is the way it avoids the more serious emotions involved .
positive,"quite simply , a joy to watch and--especially--to listen to ."
negative,"too ordinary to restore [harmon] to prominence , despite some creepy scenes that evoke childish night terrors , and a praiseworthy attempt to generate suspense rather than gross out the audience ."
negative,"forced , familiar and thoroughly condescending ."
positive,"graas s interaes entre seus personagens , o filme torna-se no apenas uma histria divertida sobre uma curiosa perseguio , mas tambm um belo estudo de personagens ."
negative,"for a story set at sea , ghost ship is pretty landbound , with its leaden acting , dull exposition and telegraphed 'surprises . '"
positive,a lot smarter than your average bond .
positive,"there are moments in this account of the life of artist frida kahlo that are among cinema's finest this year . unfortunately , they're sandwiched in between the most impossibly dry account of kahlo's life imaginable ."
negative,the movie itself appears to be running on hypertime in reverse as the truly funny bits get further and further apart .
negative,"one of those based-on-truth stories that persuades you , with every scene , that it could never really have happened this way ."
negative,a limp eddie murphy vehicle that even he seems embarrassed to be part of .
negative,a tv episode inflated past its natural length .
positive,"short-story quaint , touchingly mending a child's pain for his dead mother via communication with an old woman straight out of eudora welty ."
positive,"each of these stories has the potential for touched by an angel simplicity and sappiness , but thirteen conversations about one thing , for all its generosity and optimism , never resorts to easy feel-good sentiments ."
negative,"christina ricci comedy about sympathy , hypocrisy and love is a misfire ."
negative,"the action here is unusually tame , the characters are too simplistic to maintain interest , and the plot offers few surprises ."
positive,two hours fly by -- opera's a pleasure when you don't have to endure intermissions -- and even a novice to the form comes away exhilarated .
positive,"wiseman is patient and uncompromising , letting his camera observe and record the lives of women torn apart by a legacy of abuse ."
positive,"films about loss , grief and recovery are pretty valuable these days . seen in that light , moonlight mile should strike a nerve in many ."
positive,a reasonably entertaining sequel to 1994's surprise family hit that may strain adult credibility .
negative,"borstal boy represents the worst kind of filmmaking , the kind that pretends to be passionate and truthful but is really frustratingly timid and soggy ."
positive,"ana's journey is not a stereotypical one of self-discovery , as she's already comfortable enough in her own skin to be proud of her rubenesque physique . . ."
positive,"starts off with a bang , but then fizzles like a wet stick of dynamite at the very end . it's still worth a look ."
negative,wildly incompetent but brilliantly named half past dead -- or for seagal pessimists : totally past his prime .
negative,where the film falters is in its tone .
negative,"although there are several truly jolting scares , there's also an abundance of hackneyed dialogue and more silly satanic business than you can shake a severed limb at ."
negative,a sha-na-na sketch punctuated with graphic violence .
positive,"i liked it because it was so endlessly , grotesquely , inventive ."
negative,"eventually arrives at its heart , as simple self-reflection meditation ."
negative,"technically , the film is about as interesting as an insurance commercial ."
negative,who needs love like this ?
negative,"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine"
negative,a little objectivity could have gone a long way .
negative,"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle ."
negative,"none of these characters resembles anyone you've ever met in real life , unless you happen to know annoyingly self-involved people who speak in glib sentences that could have only come from the pen of a screenwriter ."
positive,"medem may have disrobed most of the cast , leaving their bodies exposed , but the plot remains as guarded as a virgin with a chastity belt . that's why sex and lucia is so alluring ."
positive,"in the end , the film is less the cheap thriller you'd expect than it is a fairly revealing study of its two main characters  damaged-goods people whose orbits will inevitably and dangerously collide ."
positive,"everything that has to do with yvan and charlotte , and everything that has to do with yvan's rambunctious , jewish sister and her non-jew husband , feels funny and true ."
negative,mr . soderbergh's direction and visual style struck me as unusually and unimpressively fussy and pretentious .
positive,"going to this movie is a little like chewing whale blubber - it's an acquired taste that takes time to enjoy , but it's worth it , even if it does take 3 hours to get through ."
positive,"more than their unique residences , home movie is about the people who live in them , who have carved their own comfortable niche in the world and have been kind enough to share it ."
negative,"the video work is so grainy and rough , so dependent on being 'naturalistic' rather than carefully lit and set up , that it's exhausting to watch ."
negative,"swimfan , like fatal attraction , eventually goes overboard with a loony melodramatic denouement in which a high school swimming pool substitutes for a bathtub ."
negative,"unfortunately , neither sendak nor the directors are particularly engaging or articulate ."
positive,"kinnear doesn't aim for our sympathy , but rather delivers a performance of striking skill and depth ."
negative,a subtle variation on i spit on your grave in which our purported heroine pathologically avenges a hatred for men .
negative,[seems] even more uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels .
positive,the gags are often a stitch .
negative,"an admitted egomaniac , evans is no hollywood villain , and yet this grating showcase almost makes you wish he'd gone the way of don simpson ."
positive,"writer-director's mehta's effort has tons of charm and the whimsy is in the mixture , the intoxicating masala , of cultures and film genres ."
positive,the dirty jokes provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen .
positive,an enjoyable above average summer diversion .
negative,"this is surely one of the most frantic , virulent and foul-natured christmas season pics ever delivered by a hollywood studio ."
positive,"the unique niche of self-critical , behind-the-scenes navel-gazing kaufman has carved from orleans' story and his own infinite insecurity is a work of outstanding originality ."
negative,this is so bad .
positive,the vistas are sweeping and the acting is far from painful .
negative,every so often a movie comes along that confirms one's worse fears about civilization as we know it . the new guy is one of them .
negative,bogdanich is unashamedly pro-serbian and makes little attempt to give voice to the other side .
negative,"aspires to the cracked lunacy of the adventures of buckaroo banzai , but thanks to an astonishingly witless script ends up more like the adventures of ford fairlane ."
negative,"bad . very bad . stultifyingly , dumbfoundingly , mind-numbingly bad ."
positive,""" white oleander , "" the movie , is akin to a reader's digest condensed version of the source material ."
negative,becomes the last thing you would expect from a film with this title or indeed from any plympton film : boring .
negative,the first fatal attraction was vile enough . do we really need the tiger beat version ?
negative,"there's an audience for it , but it could have been funnier and more innocent ."
positive,"this is a dark , gritty , sometimes funny little gem ."
positive,"only an epic documentary could get it all down , and spike lee's jim brown : all american at long last gives its subject a movie worthy of his talents ."
negative,"kidman is really the only thing that's worth watching in birthday girl , a film by the stage-trained jez butterworth ( mojo ) that serves as yet another example of the sad decline of british comedies in the post-full monty world ."
positive,"belongs to daniel day-lewis as much as it belongs to martin scorsese ; it's a memorable performance in a big , brassy , disturbing , unusual and highly successful film ."
negative,dismally dull sci-fi comedy .
positive,"you watch for that sense of openness , the little surprises ."
positive,"precocious smarter-than-thou wayward teen struggles to rebel against his oppressive , right-wing , propriety-obsessed family . anyone else seen this before ?"
positive,a film that is a portrait of grace in an imperfect world .
negative,"a chilly , remote , emotionally distant piece . . . so dull that its tagline should be : 'in space , no one can hear you snore . '"
negative,"all ends well , sort of , but the frenzied comic moments never click ."
negative,charly comes off as emotionally manipulative and sadly imitative of innumerable past love story derisions .
negative,"if all of eight legged freaks was as entertaining as the final hour , i would have no problem giving it an unqualified recommendation ."
negative,the uneven movie does have its charms and its funny moments but not quite enough of them .
positive,. . . manages to deliver a fair bit of vampire fun .
positive,"all three actresses are simply dazzling , particularly balk , who's finally been given a part worthy of her considerable talents ."
positive,". . . with "" the bourne identity "" we return to the more traditional action genre ."
positive,"its direction , its script , and weaver's performance as a vaguely discontented woman of substance make for a mildly entertaining 77 minutes , if that's what you're in the mood for ."
positive,"a remarkable movie with an unsatisfying ending , which is just the point ."
positive,"the movie has a soft , percolating magic , a deadpan suspense ."
negative,it's a bad sign in a thriller when you instantly know whodunit .
positive,"not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit ."
negative,"the plot is straight off the shelf , the performances are television- caliber and the message of providing solace through deception is a little creepy ."
negative,"the biggest problem with satin rouge is lilia herself . she's a cipher , played by an actress who smiles and frowns but doesn't reveal an inner life ."
positive,heartwarming and gently comic even as the film breaks your heart .
positive,"the hours makes you examine your own life in much the same way its characters do , and the experience is profound . the hours is what movies are supposed to be . . ."
positive,"entirely suspenseful , extremely well-paced and ultimately . . . dare i say , entertaining !"
positive,"bogdanovich puts history in perspective and , via kirsten dunst's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy ."
positive,"unlike the speedy wham-bam effect of most hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of italian for beginners ."
negative,its inescapable absurdities are tantamount to insulting the intelligence of anyone who hasn't been living under a rock ( since sept . 11 ) .
negative,"although god is great addresses interesting matters of identity and heritage , it's hard to shake the feeling that it was intended to be a different kind of film ."
positive,"young hanks and fisk , who vaguely resemble their celebrity parents , bring fresh good looks and an ease in front of the camera to the work ."
negative,"it is that rare combination of bad writing , bad direction and bad acting -- the trifecta of badness ."
negative,this is the kind of movie where the big scene is a man shot out of a cannon into a vat of ice cream .
negative,clare peploe's airless movie adaptation could use a little american pie-like irreverence .
negative,"the story is naturally poignant , but first-time screenwriter paul pender overloads it with sugary bits of business ."
positive,"the fun of the movie is the chance it affords to watch jackson , who also served as executive producer , take his smooth , shrewd , powerful act abroad ."
negative,a wildly inconsistent emotional experience .
negative,the film's overall mood and focus is interesting but constantly unfulfilling .
negative,"enigma looks great , has solid acting and a neat premise . yet why it fails is a riddle wrapped in a mystery inside an enigma ."
negative,odd and weird .
negative,the threat implied in the title pokmon 4ever is terrifying  like locusts in a horde these things will keep coming .
negative,a prolonged extrusion of psychopathic pulp .
negative,"i have to admit i walked out of runteldat . i did go back and check out the last 10 minutes , but these were more repulsive than the first 30 or 40 minutes ."
negative,"a ragbag of promising ideas and failed narrative , of good acting and plain old bad filmmaking ."
positive,"workmanlike , maybe , but still a film with all the elements that made the other three great , scary times at the movies ."
negative,a domestic melodrama with weak dialogue and biopic cliches .
negative,a full-frontal attack on audience patience .
positive,the film's heady yet far from impenetrable theory suggests that russians take comfort in their closed-off nationalist reality .
positive,"now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism ."
negative,"alex nohe's documentary plays like a travelogue for what mostly resembles a real-life , big-budget nc-17 version of tank girl ."
negative,a bold ( and lovely ) experiment that will almost certainly bore most audiences into their own brightly colored dreams .
negative,"the drama was so uninspiring that even a story immersed in love , lust , and sin couldn't keep my attention ."
negative,"dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter ."
positive,""" the turntable is now outselling the electric guitar . . . """
positive,"filmmakers david weissman and bill weber benefit enormously from the cockettes' camera craziness -- not only did they film performances , but they did the same at home ."
positive,"it's mildly entertaining , especially if you find comfort in familiarity . but it's hardly a necessary enterprise ."
negative,it's basically an overlong episode of tales from the crypt .
negative,somehow both wildly implausible and strangely conventional .
