text,sentiment,aspect
Still my favorite part of the restaurant and bar adjacent are the drinks. ,1,bar
Still my favorite part of the restaurant and bar adjacent are the drinks. ,2,drinks
A cold reception got even colder when we didn't have a reservation for a Tuesday night (the place was half empty). ,1,reservation
A cold reception got even colder when we didn't have a reservation for a Tuesday night (the place was half empty). ,0,place
"I don't know why the place was almost empty until 8PM, but the food and service were perfect for the price. ",0,place
"I don't know why the place was almost empty until 8PM, but the food and service were perfect for the price. ",2,food
"I don't know why the place was almost empty until 8PM, but the food and service were perfect for the price. ",1,price
"Ignoring the merits of the cuisine (which was par at best), I see no reason why one would pay Da Umberto prices for an okay meal and below average ambience. ",1,prices
"Ignoring the merits of the cuisine (which was par at best), I see no reason why one would pay Da Umberto prices for an okay meal and below average ambience. ",2,meal
"We tried their new menu that just started last Wednesday a combination of 4 different kind of ceviches and 4 kinds of Tiradito, of course you can't go wrong with spicy Tuna Rolls and The Peruvian Corn mmmm! ",2,menu
"We tried their new menu that just started last Wednesday a combination of 4 different kind of ceviches and 4 kinds of Tiradito, of course you can't go wrong with spicy Tuna Rolls and The Peruvian Corn mmmm! ",2,Tuna Rolls
"We tried their new menu that just started last Wednesday a combination of 4 different kind of ceviches and 4 kinds of Tiradito, of course you can't go wrong with spicy Tuna Rolls and The Peruvian Corn mmmm! ",1,Peruvian Corn
"Even with reservations, we had to wait 20 minutes until our server came to take our order, then waited an HOUR 10 minutes for our food! ",1,reservations
"Even with reservations, we had to wait 20 minutes until our server came to take our order, then waited an HOUR 10 minutes for our food! ",0,server
"Even with reservations, we had to wait 20 minutes until our server came to take our order, then waited an HOUR 10 minutes for our food! ",1,food
"It takes forever for them to serve you just drinks, and some of the waiters seem to not comprehend what you order. ",1,drinks
"It takes forever for them to serve you just drinks, and some of the waiters seem to not comprehend what you order. ",0,waiters
"The next thing we know, the bartender comes over and says (and I quote verbatim), I already gave you two beers (which he hadn't). ",0,bartender
"The next thing we know, the bartender comes over and says (and I quote verbatim), I already gave you two beers (which he hadn't). ",1,beers
I did not try the caviar but I tried their salmon and crab salad (they are all good)  It is definitely a good spot for snacks and chat. ,0,caviar
I did not try the caviar but I tried their salmon and crab salad (they are all good)  It is definitely a good spot for snacks and chat. ,2,salmon and crab salad
"i would not go after the early bird b/c its not worth it, find better food for full prices. ",2,food
"i would not go after the early bird b/c its not worth it, find better food for full prices. ",0,prices
"Granted we were just the girls, but this would also be a great date spot b/c the ambiance is chic and bustling yet you can also hear the conversation at your own table rather than a loud din or worse, someone else's conversation. ",2,spot
"Granted we were just the girls, but this would also be a great date spot b/c the ambiance is chic and bustling yet you can also hear the conversation at your own table rather than a loud din or worse, someone else's conversation. ",0,ambiance
The noise here is so bad that people entered and left without ordering and they lowered the lights during the dinner. ,0,noise
The noise here is so bad that people entered and left without ordering and they lowered the lights during the dinner. ,1,dinner
"Tapas, served four at a time in small white porcelain trays, are a highlight--salt cod fritter stuffed with parsley-garlic sauce melts in the mouth, while pan-fried duck liver sits in a rich mix of sherry vinegar, honey and black pepper. ",2,Tapas
"Tapas, served four at a time in small white porcelain trays, are a highlight--salt cod fritter stuffed with parsley-garlic sauce melts in the mouth, while pan-fried duck liver sits in a rich mix of sherry vinegar, honey and black pepper. ",1,white porcelain trays
"Tapas, served four at a time in small white porcelain trays, are a highlight--salt cod fritter stuffed with parsley-garlic sauce melts in the mouth, while pan-fried duck liver sits in a rich mix of sherry vinegar, honey and black pepper. ",2,salt cod fritter stuffed with parsley-garlic sauce
"Tapas, served four at a time in small white porcelain trays, are a highlight--salt cod fritter stuffed with parsley-garlic sauce melts in the mouth, while pan-fried duck liver sits in a rich mix of sherry vinegar, honey and black pepper. ",2,duck
"Tapas, served four at a time in small white porcelain trays, are a highlight--salt cod fritter stuffed with parsley-garlic sauce melts in the mouth, while pan-fried duck liver sits in a rich mix of sherry vinegar, honey and black pepper. ",2,mix of sherry vinegar
The complementary cognac at the end of dinner will leave you with a smile on your face :). ,2,cognac
The complementary cognac at the end of dinner will leave you with a smile on your face :). ,1,dinner
"To complain about waiting for a table, etc. ",0,waiting
"To complain about waiting for a table, etc. ",1,table
We got there a bit early and the staff wasn't ready for us but we didn't mind b/c we got to wait by the beautiful bar. ,0,staff
We got there a bit early and the staff wasn't ready for us but we didn't mind b/c we got to wait by the beautiful bar. ,2,bar
"Seemed to be many problems just getting our appetizers out (guacamole, which was delicious when it finally came) and we were there an hour before entrees arrived. ",1,appetizers
"Seemed to be many problems just getting our appetizers out (guacamole, which was delicious when it finally came) and we were there an hour before entrees arrived. ",2,guacamole
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent. ",1,Argentinian Pizza
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent. ",1,lunch
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent. ",2,Pelligrino
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent. ",2,goat cheese
"We figured we never had Argentinian Pizza before so we grabbed our lunch there, sharing a large Pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent. ",2,blue cheese
"There are several specials that change daily, which the servers recite from memory. ",2,specials
"There are several specials that change daily, which the servers recite from memory. ",1,servers
"Bringing a large group on a busy Saturday night ,I was afraid quality of food and service might not be up to par, but we were seated promptly and the service by our waitress was fantastic considering how busy it was. ",0,quality of food
"Bringing a large group on a busy Saturday night ,I was afraid quality of food and service might not be up to par, but we were seated promptly and the service by our waitress was fantastic considering how busy it was. ",2,seated
"Bringing a large group on a busy Saturday night ,I was afraid quality of food and service might not be up to par, but we were seated promptly and the service by our waitress was fantastic considering how busy it was. ",2,waitress
"While the place looks rather small and undecorated, I will definitely go back just for the food. ",0,place
"While the place looks rather small and undecorated, I will definitely go back just for the food. ",2,food
"I used to live in Japan, and have had some pretty good raw fish, but I was blown away by the Chef's tasting plate, which includes 6 appetizers including a stunning octopus portion and some incredible sashimi. ",2,fish
"I used to live in Japan, and have had some pretty good raw fish, but I was blown away by the Chef's tasting plate, which includes 6 appetizers including a stunning octopus portion and some incredible sashimi. ",1,Chef
"I used to live in Japan, and have had some pretty good raw fish, but I was blown away by the Chef's tasting plate, which includes 6 appetizers including a stunning octopus portion and some incredible sashimi. ",2,plate
"I used to live in Japan, and have had some pretty good raw fish, but I was blown away by the Chef's tasting plate, which includes 6 appetizers including a stunning octopus portion and some incredible sashimi. ",1,appetizers
"I used to live in Japan, and have had some pretty good raw fish, but I was blown away by the Chef's tasting plate, which includes 6 appetizers including a stunning octopus portion and some incredible sashimi. ",1,stunning octopus portion
"I used to live in Japan, and have had some pretty good raw fish, but I was blown away by the Chef's tasting plate, which includes 6 appetizers including a stunning octopus portion and some incredible sashimi. ",2,sashimi
All this Asian fusion craze leaves one feeling like they should've went to an authentic Thai or Indian restaurant for probably 1/3 of the price of Spice Market. ,2,Thai
All this Asian fusion craze leaves one feeling like they should've went to an authentic Thai or Indian restaurant for probably 1/3 of the price of Spice Market. ,1,price
All this Asian fusion craze leaves one feeling like they should've went to an authentic Thai or Indian restaurant for probably 1/3 of the price of Spice Market. ,1,Spice
"Park your trench coat at the coat check and be prepared for fine dining, expert / attentive table service and a delectable cuisine. ",1,coat check
"Park your trench coat at the coat check and be prepared for fine dining, expert / attentive table service and a delectable cuisine. ",2,dining
"Park your trench coat at the coat check and be prepared for fine dining, expert / attentive table service and a delectable cuisine. ",2,table service
"Park your trench coat at the coat check and be prepared for fine dining, expert / attentive table service and a delectable cuisine. ",2,cuisine
"The fruit that came with the fondu was perfectly ripe, no bruises at all. ",2,fruit
"The fruit that came with the fondu was perfectly ripe, no bruises at all. ",1,fondu
"Instead of doing so, the manager came to our table and told us he'd be happy to take our orders off if we didn't like the way he ran his restaurant. ",2,manager
"Instead of doing so, the manager came to our table and told us he'd be happy to take our orders off if we didn't like the way he ran his restaurant. ",1,table
"My friends and I had a great time - the atmosphere was exciting but didn't encroach on us while we had our meal and drinks (which is better, the kiwitini or the watermelon martini?) ",2,atmosphere
"My friends and I had a great time - the atmosphere was exciting but didn't encroach on us while we had our meal and drinks (which is better, the kiwitini or the watermelon martini?) ",1,meal
"The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed. ",2,atmosphere
"The atmosphere was nice (tables were a bit too close together) and trendy, but waiters seemed rushed. ",0,tables
"Recommend eating at the bar for an intimate, relaxed dinner. ",1,bar
"Recommend eating at the bar for an intimate, relaxed dinner. ",2,dinner
"Went with a large group of 7 ladies before a show, and the staff was extremely obliging, even when one person was late and we had to wrap up her dinner to take to her. ",2,staff
"Went with a large group of 7 ladies before a show, and the staff was extremely obliging, even when one person was late and we had to wrap up her dinner to take to her. ",1,dinner
"Jalepeno slices and a little bit of cheese, yes again them hamburgers make me weak in my knees. ",1,Jalepeno slices
"Jalepeno slices and a little bit of cheese, yes again them hamburgers make me weak in my knees. ",1,cheese
"Jalepeno slices and a little bit of cheese, yes again them hamburgers make me weak in my knees. ",0,hamburgers
"I love the food, and have gone back several times, but each time the waitress is a little nastier. ",2,food
"I love the food, and have gone back several times, but each time the waitress is a little nastier. ",0,waitress
Desserts were visually inventive but lacking in flavor. ,2,Desserts
Desserts were visually inventive but lacking in flavor. ,0,flavor
And price is over value for two persons dinner $ 90. ,0,price
And price is over value for two persons dinner $ 90. ,1,dinner
"We also had an extra appetizer-some sort of fish roll, which was dipped in spicy sauce. ",1,sort of fish roll
"We also had an extra appetizer-some sort of fish roll, which was dipped in spicy sauce. ",2,sauce
"went here w/ great expectations and was greatly disappointed; the food was good, not great and vastly overpriced- one salad, two pasta dishes, two demi-carafes of red wine- $100 (tax and tip); rediculous; orechiette came w/ so little brocoli rape that it did not have its characteristic flavor; and it is very very loud. ",2,food
"went here w/ great expectations and was greatly disappointed; the food was good, not great and vastly overpriced- one salad, two pasta dishes, two demi-carafes of red wine- $100 (tax and tip); rediculous; orechiette came w/ so little brocoli rape that it did not have its characteristic flavor; and it is very very loud. ",0,flavor
"We went there just for dinner, and the place was so good we didn't leave. ",1,dinner
"We went there just for dinner, and the place was so good we didn't leave. ",2,place
"The ambience is cool, and the cocktails might be worth coming by, but head somewhere else for dinner. ",2,ambience
"The ambience is cool, and the cocktails might be worth coming by, but head somewhere else for dinner. ",1,dinner
"When her boyfriend told the host that she would like to keep her seat as it was, he grabbed a chair and slammed it down very hard on the floor. ",0,host
"When her boyfriend told the host that she would like to keep her seat as it was, he grabbed a chair and slammed it down very hard on the floor. ",1,seat
my boyfriend's fish was overwhelmed by the sauce. ,0,fish
my boyfriend's fish was overwhelmed by the sauce. ,1,sauce
"The Bollos appetizer, this deliciouss black bean, roasted corn fritter w/ a tsty dipping sauce and the Mahi Mahi was grilled just right. ",1,Bollos appetizer
"The Bollos appetizer, this deliciouss black bean, roasted corn fritter w/ a tsty dipping sauce and the Mahi Mahi was grilled just right. ",2,roasted corn fritter w/ a tsty dipping sauce
"The Bollos appetizer, this deliciouss black bean, roasted corn fritter w/ a tsty dipping sauce and the Mahi Mahi was grilled just right. ",2,Mahi Mahi
"Our waitress seemed less than happy about the prix fixe dinner choices and at one point said, Do you really need to hear the specials? ",0,waitress
"Our waitress seemed less than happy about the prix fixe dinner choices and at one point said, Do you really need to hear the specials? ",1,specials
"Setting aside the interminable wait for food, the cheese omelet opened up on the way from the kitchen to the table so that when it arrived, it looked like a large yellow pancake with a slab of uncooked cheese sitting in the middle. ",0,wait
"Setting aside the interminable wait for food, the cheese omelet opened up on the way from the kitchen to the table so that when it arrived, it looked like a large yellow pancake with a slab of uncooked cheese sitting in the middle. ",1,food
"Setting aside the interminable wait for food, the cheese omelet opened up on the way from the kitchen to the table so that when it arrived, it looked like a large yellow pancake with a slab of uncooked cheese sitting in the middle. ",1,cheese omelet
"Setting aside the interminable wait for food, the cheese omelet opened up on the way from the kitchen to the table so that when it arrived, it looked like a large yellow pancake with a slab of uncooked cheese sitting in the middle. ",1,table
"Setting aside the interminable wait for food, the cheese omelet opened up on the way from the kitchen to the table so that when it arrived, it looked like a large yellow pancake with a slab of uncooked cheese sitting in the middle. ",2,yellow pancake
"The staff is nice, but they have the awful job of having to sell bland food as amazing treats. ",2,staff
"The staff is nice, but they have the awful job of having to sell bland food as amazing treats. ",0,food
"This is the perfect place to come with a group from work, people from out of town, or just to have a drink at the bar and enjoy the atmosphere. ",1,drink
"This is the perfect place to come with a group from work, people from out of town, or just to have a drink at the bar and enjoy the atmosphere. ",1,bar
"This is the perfect place to come with a group from work, people from out of town, or just to have a drink at the bar and enjoy the atmosphere. ",2,atmosphere
"There is a litte bit of a wait on the food, but it is well worth it! ",0,wait
"There is a litte bit of a wait on the food, but it is well worth it! ",1,food
"but above all, they do have fresh fish, especially salmon and yellowtail. ",2,fish
"but above all, they do have fresh fish, especially salmon and yellowtail. ",1,salmon
"but above all, they do have fresh fish, especially salmon and yellowtail. ",1,yellowtail
"The calamari, the penne and vodka sauce, the friendly service the parking and the open area kitchen to see all the action in the making! ",1,calamari
"The calamari, the penne and vodka sauce, the friendly service the parking and the open area kitchen to see all the action in the making! ",1,penne and vodka sauce
"The calamari, the penne and vodka sauce, the friendly service the parking and the open area kitchen to see all the action in the making! ",2,service
"The calamari, the penne and vodka sauce, the friendly service the parking and the open area kitchen to see all the action in the making! ",1,open area kitchen
One server came and gave us food that turned out to be someone else's. ,0,server
One server came and gave us food that turned out to be someone else's. ,1,food
Perhaps it's early and they will improve but service is VERY slow - took a good 25min for waiter to take our order on both visits and the second time I was one of three tables at a 5:30pm reservation so not like it was busy. ,0,service
Perhaps it's early and they will improve but service is VERY slow - took a good 25min for waiter to take our order on both visits and the second time I was one of three tables at a 5:30pm reservation so not like it was busy. ,0,waiter
Perhaps it's early and they will improve but service is VERY slow - took a good 25min for waiter to take our order on both visits and the second time I was one of three tables at a 5:30pm reservation so not like it was busy. ,1,tables
Perhaps it's early and they will improve but service is VERY slow - took a good 25min for waiter to take our order on both visits and the second time I was one of three tables at a 5:30pm reservation so not like it was busy. ,1,reservation
"Even with our large appetites we could not finish all the food or wine, which has never happened with a tasting menu before. ",1,food
"Even with our large appetites we could not finish all the food or wine, which has never happened with a tasting menu before. ",1,wine
"Even with our large appetites we could not finish all the food or wine, which has never happened with a tasting menu before. ",2,menu
The chef/owner is always walking around making sure everyone is having a good time. ,1,chef/owner
The chef/owner is always walking around making sure everyone is having a good time. ,2,time
A shrimp dish that was boiled and in a sauce that tasted like unflavored jello. ,1,shrimp dish
A shrimp dish that was boiled and in a sauce that tasted like unflavored jello. ,1,sauce
A shrimp dish that was boiled and in a sauce that tasted like unflavored jello. ,0,jello
After losing our reservation the staff at March called 24 hours later to apologize and ask if we would still like to dine there. ,1,reservation
After losing our reservation the staff at March called 24 hours later to apologize and ask if we would still like to dine there. ,2,staff
Enough space between tables that you don't feel crowded or that it's too loud. ,2,space
Enough space between tables that you don't feel crowded or that it's too loud. ,1,tables
This is a wonderful mix of food from Turkey and the Caucasus. ,2,mix
This is a wonderful mix of food from Turkey and the Caucasus. ,2,food
This is a wonderful mix of food from Turkey and the Caucasus. ,1,Turkey
This is a wonderful mix of food from Turkey and the Caucasus. ,1,Caucasus
The waiter messed up my order and we had to hunt down the wait staff to get a second drink. ,0,waiter
The waiter messed up my order and we had to hunt down the wait staff to get a second drink. ,0,wait staff
The waiter messed up my order and we had to hunt down the wait staff to get a second drink. ,1,drink
"Unfortunately for them, we would have ordered twice as many drinks if we didn't have to wait half an hour for the waitress between every drink. ",1,drinks
"Unfortunately for them, we would have ordered twice as many drinks if we didn't have to wait half an hour for the waitress between every drink. ",0,waitress
"For such an expensive place, you can find much, much better in Manhattan; heck, you can find much better food for a lot cheaper! ",0,place
"For such an expensive place, you can find much, much better in Manhattan; heck, you can find much better food for a lot cheaper! ",2,food
"Appetizers: those that we tried were good, though skip the soup, cuz you can eat that at home since it tasted like Campbells. ",2,Appetizers
"Appetizers: those that we tried were good, though skip the soup, cuz you can eat that at home since it tasted like Campbells. ",0,soup
Asking for the menu is out of line and unusual where the staff is actually insulted if you choose not to rely on their expertise on average Chinese food selections. ,1,menu
Asking for the menu is out of line and unusual where the staff is actually insulted if you choose not to rely on their expertise on average Chinese food selections. ,0,staff
"For lunch, walk in slightly after 1pm to avoid long lines. ",1,lunch
"For lunch, walk in slightly after 1pm to avoid long lines. ",0,lines
"Like the previous reviewer said, the appetizers were by far the best part (chipotle chicken wings). ",2,appetizers
"Like the previous reviewer said, the appetizers were by far the best part (chipotle chicken wings). ",1,chicken
The complimentary salmon with horseradish sauce was delicious and I don't even like eating fish. ,2,salmon with horseradish sauce
The complimentary salmon with horseradish sauce was delicious and I don't even like eating fish. ,0,fish
"The plain slice is a bit pricey for what you get sometimes, but the pre-made multi-topping slices are a bargain at $3 a pop. ",0,plain slice
"The plain slice is a bit pricey for what you get sometimes, but the pre-made multi-topping slices are a bargain at $3 a pop. ",2,pre-made multi-topping slices
"I tried both and definitley thought the duck was amazing, I'm not generally not a big fan of lamb shank but thought they did a good job here. ",2,duck
"I tried both and definitley thought the duck was amazing, I'm not generally not a big fan of lamb shank but thought they did a good job here. ",0,lamb
"I don't expect an enormous, heaping plate of food, but c'mon. ",2,plate
"I don't expect an enormous, heaping plate of food, but c'mon. ",1,food
The ubiquitous nasty plastic cheese bread that passes for pizza in too many NYC establishments these days. ,0,plastic cheese bread
The ubiquitous nasty plastic cheese bread that passes for pizza in too many NYC establishments these days. ,1,pizza
"Once we had ordered etc, the wait for our meal was not long and the food was fabulous. ",2,wait
"Once we had ordered etc, the wait for our meal was not long and the food was fabulous. ",2,food
"Once we had ordered etc, the wait for our meal was not long and the food was fabulous. ",1,meal
"Much to my satisfaction, I was seated promptly without a reservation and soon after being seated was greeted by my server. ",1,reservation
"Much to my satisfaction, I was seated promptly without a reservation and soon after being seated was greeted by my server. ",2,server
Out waitress never came back to our table after taking our food orders. ,0,waitress
Out waitress never came back to our table after taking our food orders. ,1,food
"Diners choose between deep banquettes or seats at the bar, which offer a front-row view of the small preparation area and a chance to watch the two chefs as they whip together the elegantly constructed desserts. ",2,Diners
"Diners choose between deep banquettes or seats at the bar, which offer a front-row view of the small preparation area and a chance to watch the two chefs as they whip together the elegantly constructed desserts. ",1,seats
"Diners choose between deep banquettes or seats at the bar, which offer a front-row view of the small preparation area and a chance to watch the two chefs as they whip together the elegantly constructed desserts. ",1,bar
"Diners choose between deep banquettes or seats at the bar, which offer a front-row view of the small preparation area and a chance to watch the two chefs as they whip together the elegantly constructed desserts. ",1,area
"Diners choose between deep banquettes or seats at the bar, which offer a front-row view of the small preparation area and a chance to watch the two chefs as they whip together the elegantly constructed desserts. ",1,chefs
The waiter kept pestering us for our order even though we were among the last diners. ,0,waiter
The waiter kept pestering us for our order even though we were among the last diners. ,1,diners
The waitress lost some points for not refilling our champagne glasses. ,0,waitress
The waitress lost some points for not refilling our champagne glasses. ,1,champagne glasses
Tried again for Brunch and really bad server with HUGE attitude. ,2,Brunch
Tried again for Brunch and really bad server with HUGE attitude. ,0,server
"Also, try to get a seat at the main bar, because I sat at the smaller bar by the entrance and it was getting so crowded with people waiting that it became a bit unpleasant towards to end of the meal. ",1,seat
"Also, try to get a seat at the main bar, because I sat at the smaller bar by the entrance and it was getting so crowded with people waiting that it became a bit unpleasant towards to end of the meal. ",1,main bar
"Also, try to get a seat at the main bar, because I sat at the smaller bar by the entrance and it was getting so crowded with people waiting that it became a bit unpleasant towards to end of the meal. ",0,waiting
"Also, try to get a seat at the main bar, because I sat at the smaller bar by the entrance and it was getting so crowded with people waiting that it became a bit unpleasant towards to end of the meal. ",1,meal
The waitress was slow and forgot drinks and food we ordered. ,0,waitress
The waitress was slow and forgot drinks and food we ordered. ,1,drinks
"Fajitas, a house specialty, are available with nearly a dozen different fillings, from mesquite-grilled chicken to portobello mushrooms and asparagus. ",2,fillings
"Fajitas, a house specialty, are available with nearly a dozen different fillings, from mesquite-grilled chicken to portobello mushrooms and asparagus. ",1,chicken to portobello mushrooms
"Fajitas, a house specialty, are available with nearly a dozen different fillings, from mesquite-grilled chicken to portobello mushrooms and asparagus. ",1,asparagus
We had to remind the waiter to pour our wine (white) and then he didn't show us the label. ,0,waiter
We had to remind the waiter to pour our wine (white) and then he didn't show us the label. ,1,wine
We had to remind the waiter to pour our wine (white) and then he didn't show us the label. ,1,white
Those of you who are sick of the standard Italian fare will be blown away by the food at Arezzo. ,1,Italian fare
Those of you who are sick of the standard Italian fare will be blown away by the food at Arezzo. ,2,food
"The value for this place was great-- we had 2 drinks, 2 appetizers, 2 entrees, and 1 chocolate cake (yummy!!) ",2,value
"The value for this place was great-- we had 2 drinks, 2 appetizers, 2 entrees, and 1 chocolate cake (yummy!!) ",1,drinks
"The value for this place was great-- we had 2 drinks, 2 appetizers, 2 entrees, and 1 chocolate cake (yummy!!) ",1,appetizers
"The value for this place was great-- we had 2 drinks, 2 appetizers, 2 entrees, and 1 chocolate cake (yummy!!) ",1,entrees
"The value for this place was great-- we had 2 drinks, 2 appetizers, 2 entrees, and 1 chocolate cake (yummy!!) ",2,chocolate cake
"Perhaps it was because the 20% tip was already added to the bill, but the waiter brought us plain gazpacho without any of the other ingredients described on the menu; later, when we complained, he brought us saucers of garnish instead of new bowls of the soup properly prepared. ",1,tip
"Perhaps it was because the 20% tip was already added to the bill, but the waiter brought us plain gazpacho without any of the other ingredients described on the menu; later, when we complained, he brought us saucers of garnish instead of new bowls of the soup properly prepared. ",1,bill
"Perhaps it was because the 20% tip was already added to the bill, but the waiter brought us plain gazpacho without any of the other ingredients described on the menu; later, when we complained, he brought us saucers of garnish instead of new bowls of the soup properly prepared. ",0,waiter
"Perhaps it was because the 20% tip was already added to the bill, but the waiter brought us plain gazpacho without any of the other ingredients described on the menu; later, when we complained, he brought us saucers of garnish instead of new bowls of the soup properly prepared. ",1,soup
"Perhaps it was because the 20% tip was already added to the bill, but the waiter brought us plain gazpacho without any of the other ingredients described on the menu; later, when we complained, he brought us saucers of garnish instead of new bowls of the soup properly prepared. ",2,prepared
"Even when the place has been packed with tables (I saw a party of 12 in there last time), the waiters and bartenders are still nice. ",1,tables
"Even when the place has been packed with tables (I saw a party of 12 in there last time), the waiters and bartenders are still nice. ",2,waiters
the fillet minion was a little too salty and the chicken was average but the side dishes with each meat was amazing. ,0,fillet minion
the fillet minion was a little too salty and the chicken was average but the side dishes with each meat was amazing. ,1,chicken
"When the other half of my party arrived, the waited helped us with the menu, and i was happy to know you can mix and match items in their lunch box I got the mekong box and i could not believe how great the pork sandwich was, I also enjoyed the asian salad and brownie tremendously. ",1,menu
"When the other half of my party arrived, the waited helped us with the menu, and i was happy to know you can mix and match items in their lunch box I got the mekong box and i could not believe how great the pork sandwich was, I also enjoyed the asian salad and brownie tremendously. ",1,lunch
"When the other half of my party arrived, the waited helped us with the menu, and i was happy to know you can mix and match items in their lunch box I got the mekong box and i could not believe how great the pork sandwich was, I also enjoyed the asian salad and brownie tremendously. ",1,mekong box
"When the other half of my party arrived, the waited helped us with the menu, and i was happy to know you can mix and match items in their lunch box I got the mekong box and i could not believe how great the pork sandwich was, I also enjoyed the asian salad and brownie tremendously. ",2,pork sandwich
"When the other half of my party arrived, the waited helped us with the menu, and i was happy to know you can mix and match items in their lunch box I got the mekong box and i could not believe how great the pork sandwich was, I also enjoyed the asian salad and brownie tremendously. ",2,asian salad
Those who choose an omakase (chef's choice) menu will be happily surprised with accents of jalapeno or swaths of homemade sauce cleverly accenting rolls and sushi alike. ,2,omakase
Those who choose an omakase (chef's choice) menu will be happily surprised with accents of jalapeno or swaths of homemade sauce cleverly accenting rolls and sushi alike. ,1,chef
Those who choose an omakase (chef's choice) menu will be happily surprised with accents of jalapeno or swaths of homemade sauce cleverly accenting rolls and sushi alike. ,2,menu
Those who choose an omakase (chef's choice) menu will be happily surprised with accents of jalapeno or swaths of homemade sauce cleverly accenting rolls and sushi alike. ,1,sushi alike
Enjoy dishes like a Maine lobster and rock shrimp BLT in a sundried-tomato tortilla wrap (Lobster Man From Mars) and a roasted pork chop with vanilla-rum mashed yams and apple chutney (Promethean Pork Chop). ,2,dishes
Enjoy dishes like a Maine lobster and rock shrimp BLT in a sundried-tomato tortilla wrap (Lobster Man From Mars) and a roasted pork chop with vanilla-rum mashed yams and apple chutney (Promethean Pork Chop). ,2,Maine lobster and rock shrimp
Enjoy dishes like a Maine lobster and rock shrimp BLT in a sundried-tomato tortilla wrap (Lobster Man From Mars) and a roasted pork chop with vanilla-rum mashed yams and apple chutney (Promethean Pork Chop). ,2,wrap
Enjoy dishes like a Maine lobster and rock shrimp BLT in a sundried-tomato tortilla wrap (Lobster Man From Mars) and a roasted pork chop with vanilla-rum mashed yams and apple chutney (Promethean Pork Chop). ,2,Lobster Man
Enjoy dishes like a Maine lobster and rock shrimp BLT in a sundried-tomato tortilla wrap (Lobster Man From Mars) and a roasted pork chop with vanilla-rum mashed yams and apple chutney (Promethean Pork Chop). ,1,apple chutney
If only they'd get a better wine list - the reds are all so mediocre - this would be the perfect meal. ,0,reds
If only they'd get a better wine list - the reds are all so mediocre - this would be the perfect meal. ,2,meal
Despite a slightly snotty server (our waitress was great) I cant wait to hop back on the L train and cruz on over. ,0,server
Despite a slightly snotty server (our waitress was great) I cant wait to hop back on the L train and cruz on over. ,2,waitress
"$45 a head with tip for bad gnocchi, mediocre wine (as recommended by a condescending waiter, who thought himself oh-so-nice) and the feeling that our companions (at our shared table) were listening in on all our chatter. ",0,wine
"$45 a head with tip for bad gnocchi, mediocre wine (as recommended by a condescending waiter, who thought himself oh-so-nice) and the feeling that our companions (at our shared table) were listening in on all our chatter. ",1,shared table
"The decor maybe great for young kids but as an adult this place was an horrible experiance, it didn't bring the kid in me. ",2,decor
"The decor maybe great for young kids but as an adult this place was an horrible experiance, it didn't bring the kid in me. ",0,place
Large portions of food to share. ,2,portions
Large portions of food to share. ,1,food
The steak is brought to the table soaked in grease. ,0,steak
The steak is brought to the table soaked in grease. ,1,table
Best value is the sushi/sashimi lunch combo - get the large for double pieces on sushi! ,2,value
Best value is the sushi/sashimi lunch combo - get the large for double pieces on sushi! ,1,sushi/sashimi lunch combo
"My grandmother-in-law had a problem with her meal, and the manager AND chef came over and offered to replace it and/or take it off the check. ",1,meal
"My grandmother-in-law had a problem with her meal, and the manager AND chef came over and offered to replace it and/or take it off the check. ",2,manager
"My grandmother-in-law had a problem with her meal, and the manager AND chef came over and offered to replace it and/or take it off the check. ",2,chef
"Although the sushi was fresh, I was disappointed with the size of the portions for the price. ",2,sushi
"Although the sushi was fresh, I was disappointed with the size of the portions for the price. ",0,portions
"Although the sushi was fresh, I was disappointed with the size of the portions for the price. ",1,price
"AVOID - there are WAY better pre-theater places, like Orso, Hell's Kitchen, etc for the same price. ",2,places
"AVOID - there are WAY better pre-theater places, like Orso, Hell's Kitchen, etc for the same price. ",1,Kitchen
"You can't fault them for serving up some pretty good food, even if it's a bit overpriced. ",1,serving
"You can't fault them for serving up some pretty good food, even if it's a bit overpriced. ",2,food
This place is cheap and so much better for spending your football Sunday than the nightmarishly crowded Times Square ESPN Zone or a more trendy sports bar. ,2,place
This place is cheap and so much better for spending your football Sunday than the nightmarishly crowded Times Square ESPN Zone or a more trendy sports bar. ,1,bar
"My favorites: warm veal with goat cheese (just melts in your mouth), the gnocchi with crab meat, and for dessert - the beignets are unbelievable. ",2,veal with goat cheese
